filename,source_url,section_label,section_index,chunk_index,chunk_text,chunk_text_tr
NIST.CSWP.29.pdf,https://doi.org/10.6028/NIST.CSWP.29,GV.OC_GV.OC-01,0.0,0,The organizational mission is understood and informs cybersecurity risk o management,Organizasyonel misyon anlaşıldı ve siber güvenlik riski hakkında bilgi verildi o yönetim
NIST.CSWP.29.pdf,https://doi.org/10.6028/NIST.CSWP.29,GV.OC_GV.OC-02,0.0,0,"Internal and external stakeholders are understood, and their needs and o expectations regarding cybersecurity risk management are understood and considered","İç ve dış paydaşların anlaşılması, ihtiyaçları ve o Siber güvenlik risk yönetimine ilişkin beklentilerin anlaşılması ve dikkate alınması"
NIST.CSWP.29.pdf,https://doi.org/10.6028/NIST.CSWP.29,GV.OC_GV.OC-03,0.0,0,"Legal, regulatory, and contractual requirements regarding cybersecurity — o including privacy and civil liberties obligations — are understood and managed","Siber güvenliğe ilişkin yasal, düzenleyici ve sözleşmeye dayalı gereksinimler — o gizlilik ve sivil özgürlükler yükümlülükleri dahil - anlaşılır ve yönetilir"
NIST.CSWP.29.pdf,https://doi.org/10.6028/NIST.CSWP.29,GV.OC_GV.OC-04,0.0,0,"Critical objectives, capabilities, and services that external stakeholders o depend on or expect from the organization are understood and communicated","Dış paydaşların belirlediği kritik hedefler, yetenekler ve hizmetler o Kuruluşa bağlı olunması veya kuruluştan beklenmesinin anlaşılması ve iletilmesi"
NIST.CSWP.29.pdf,https://doi.org/10.6028/NIST.CSWP.29,GV.OC_GV.OC-05,0.0,0,"Outcomes, capabilities, and services that the organization depends on are o understood and communicated • Risk Management Strategy (GV.RM): The organization’s priorities, constraints, risk tolerance and appetite statements, and assumptions are established, communicated, and used to support operational risk decisions","Kuruluşun bağlı olduğu sonuçlar, yetenekler ve hizmetler şunlardır: o anlaşıldı ve iletildi • Risk Yönetimi Stratejisi (GV.RM): Kuruluşun öncelikleri, kısıtlamaları, riskleri Hoşgörü ve iştah beyanları ve varsayımlar oluşturulur, iletilir ve operasyonel risk kararlarını desteklemek için kullanılır"
NIST.CSWP.29.pdf,https://doi.org/10.6028/NIST.CSWP.29,GV.RM_GV.RM-01,1.0,0,Risk management objectives are established and agreed to by organizational o stakeholders,Risk yönetimi hedefleri kuruluş tarafından belirlenir ve kabul edilir. o paydaşlar
NIST.CSWP.29.pdf,https://doi.org/10.6028/NIST.CSWP.29,GV.RM_GV.RM-02,1.0,0,"Risk appetite and risk tolerance statements are established, communicated, o and maintained","Risk iştahı ve risk toleransı beyanlarının oluşturulması, iletilmesi, o ve bakımı yapıldı"
NIST.CSWP.29.pdf,https://doi.org/10.6028/NIST.CSWP.29,GV.RM_GV.RM-03,1.0,0,Cybersecurity risk management activities and outcomes are included in o enterprise risk management processes,"Siber güvenlik risk yönetimi faaliyetleri ve sonuçları, o kurumsal risk yönetimi süreçleri"
NIST.CSWP.29.pdf,https://doi.org/10.6028/NIST.CSWP.29,GV.RM_GV.RM-04,1.0,0,Strategic direction that describes appropriate risk response options is o established and communicated,Uygun risk yanıt seçeneklerini açıklayan stratejik yön o kurulmuş ve iletilmiş
NIST.CSWP.29.pdf,https://doi.org/10.6028/NIST.CSWP.29,GV.RM_GV.RM-05,1.0,0,"Lines of communication across the organization are established for o cybersecurity risks, including risks from suppliers and other third parties",Organizasyon genelinde iletişim hatları kurulmuştur. o Tedarikçilerden ve diğer üçüncü taraflardan kaynaklanan riskler de dahil olmak üzere siber güvenlik riskleri
NIST.CSWP.29.pdf,https://doi.org/10.6028/NIST.CSWP.29,GV.RM_GV.RM-06,1.0,0,"A standardized method for calculating, documenting, categorizing, and o prioritizing cybersecurity risks is established and communicated","Hesaplama, belgeleme, sınıflandırma ve o Siber güvenlik risklerinin önceliklendirilmesi oluşturulur ve iletilir"
NIST.CSWP.29.pdf,https://doi.org/10.6028/NIST.CSWP.29,GV.RM_GV.RM-07,1.0,0,"Strategic opportunities (i.e., positive risks) are characterized and are o included in organizational cybersecurity risk discussions 16 NIST CSWP 29 The NIST Cybersecurity Framework (CSF) 2.0 February 26, 2024 • Roles, Responsibilities, and Authorities (GV.RR): Cybersecurity roles, responsibilities, and authorities to foster accountability, performance assessment, and continuous improvement are established and communicated","Stratejik fırsatlar (yani olumlu riskler) karakterize edilir ve o kurumsal siber güvenlik risk tartışmalarına dahil edildi 16 NIST CSWP 29 NIST Siber Güvenlik Çerçevesi (CSF) 2.0 26 Şubat 2024 • Roller, Sorumluluklar ve Yetkiler (GV.RR): Siber güvenlik rolleri, sorumlulukları ve Yetkililerin hesap verebilirliği, performans değerlendirmesini ve sürekli iyileştirmeyi teşvik etmesi kurulur ve iletilir"
NIST.CSWP.29.pdf,https://doi.org/10.6028/NIST.CSWP.29,GV.RR_GV.RR-01,2.0,0,"Organizational leadership is responsible and accountable for cybersecurity o risk and fosters a culture that is risk-aware, ethical, and continually improving","Organizasyonel liderlik siber güvenlikten sorumludur ve sorumludur o riske duyarlı, etik ve sürekli gelişen bir kültürü teşvik eder"
NIST.CSWP.29.pdf,https://doi.org/10.6028/NIST.CSWP.29,GV.RR_GV.RR-02,2.0,0,"Roles, responsibilities, and authorities related to cybersecurity risk o management are established, communicated, understood, and enforced","Siber güvenlik riskine ilişkin roller, sorumluluklar ve yetkiler o Yönetim kurulur, iletilir, anlaşılır ve uygulanır"
NIST.CSWP.29.pdf,https://doi.org/10.6028/NIST.CSWP.29,GV.RR_GV.RR-03,2.0,0,"Adequate resources are allocated commensurate with the cybersecurity risk o strategy, roles, responsibilities, and policies","Siber güvenlik riskiyle orantılı olarak yeterli kaynak tahsis edilir o strateji, roller, sorumluluklar ve politikalar"
NIST.CSWP.29.pdf,https://doi.org/10.6028/NIST.CSWP.29,GV.RR_GV.RR-04,2.0,0,"Cybersecurity is included in human resources practices o • Policy (GV.PO): Organizational cybersecurity policy is established, communicated, and enforced","Siber güvenlik insan kaynakları uygulamalarına dahildir o • Politika (GV.PO): Kurumsal siber güvenlik politikası oluşturulur, iletilir ve zorunlu"
NIST.CSWP.29.pdf,https://doi.org/10.6028/NIST.CSWP.29,GV.PO_GV.PO-01,3.0,0,"Policy for managing cybersecurity risks is established based on organizational o context, cybersecurity strategy, and priorities and is communicated and enforced","Siber güvenlik risklerini yönetme politikası organizasyonel bazda oluşturulmuştur. o bağlam, siber güvenlik stratejisi ve öncelikler dikkate alınarak iletilir ve uygulanır."
NIST.CSWP.29.pdf,https://doi.org/10.6028/NIST.CSWP.29,GV.PO_GV.PO-02,3.0,0,"Policy for managing cybersecurity risks is reviewed, updated, communicated, o and enforced to reflect changes in requirements, threats, technology, and organizational mission • Oversight (GV.OV): Results of organization-wide cybersecurity risk management activities and performance are used to inform, improve, and adjust the risk management strategy","Siber güvenlik risklerinin yönetimine ilişkin politika gözden geçirilir, güncellenir, iletilir, o gereksinimlerdeki, tehditlerdeki, teknolojideki değişiklikleri yansıtacak şekilde zorlanır ve örgütsel misyon • Gözetim (GV.OV): Kuruluş çapında siber güvenlik risk yönetimi faaliyetlerinin sonuçları ve performans, risk yönetimi stratejisini bilgilendirmek, geliştirmek ve ayarlamak için kullanılır"
NIST.CSWP.29.pdf,https://doi.org/10.6028/NIST.CSWP.29,GV.OV_GV.OV-01,4.0,0,Cybersecurity risk management strategy outcomes are reviewed to inform o and adjust strategy and direction,Siber güvenlik risk yönetimi stratejisi sonuçları bilgilendirme amacıyla gözden geçirilir o ve stratejiyi ve yönü ayarlayın
NIST.CSWP.29.pdf,https://doi.org/10.6028/NIST.CSWP.29,GV.OV_GV.OV-02,4.0,0,The cybersecurity risk management strategy is reviewed and adjusted to o ensure coverage of organizational requirements and risks,Siber güvenlik risk yönetimi stratejisi gözden geçirilir ve o Organizasyonel gereksinimlerin ve risklerin kapsanmasını sağlamak
NIST.CSWP.29.pdf,https://doi.org/10.6028/NIST.CSWP.29,GV.OV_GV.OV-03,4.0,0,"Organizational cybersecurity risk management performance is evaluated and o reviewed for adjustments needed • Cybersecurity Supply Chain Risk Management (GV.SC): Cyber supply chain risk management processes are identified, established, managed, monitored, and improved by organizational stakeholders","Organizasyonel siber güvenlik risk yönetimi performansı değerlendirilir ve o gerekli ayarlamalar için gözden geçirildi • Siber Güvenlik Tedarik Zinciri Risk Yönetimi (GV.SC): Siber tedarik zinciri riski yönetim süreçleri belirlenir, oluşturulur, yönetilir, izlenir ve geliştirilir. organizasyonel paydaşlar"
